Start Time, Oct. 18, 2018 at 03:15:26 PM
Energy calibration,  Offset: 0, Slope: 0.5, Quadratic: 0
Live Time (s), 7245.82
Real Time (s), 7276.64
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.5, 69
2, 1, 20725
3, 1.5, 1331
4, 2, 354
5, 2.5, 978
6, 3, 3827
7, 3.5, 3575
8, 4, 3167
9, 4.5, 2967
10, 5, 2805
11, 5.5, 2573
12, 6, 3023
13, 6.5, 2568
14, 7, 2141
15, 7.5, 2004
16, 8, 1813
17, 8.5, 1702
18, 9, 1699
19, 9.5, 1613
20, 10, 1623
21, 10.5, 1577
22, 11, 1523
23, 11.5, 1481
24, 12, 1444
25, 12.5, 1438
26, 13, 1441
27, 13.5, 1366
28, 14, 1340
29, 14.5, 1310
30, 15, 1333
31, 15.5, 1280
32, 16, 1250
33, 16.5, 1242
34, 17, 1248
35, 17.5, 1224
36, 18, 1219
37, 18.5, 1194
38, 19, 1179
39, 19.5, 1179
40, 20, 1095
41, 20.5, 1111
42, 21, 1124
43, 21.5, 1118
44, 22, 1068
45, 22.5, 1076
46, 23, 1036
47, 23.5, 1085
48, 24, 1085
49, 24.5, 1071
50, 25, 1113
51, 25.5, 1018
52, 26, 1036
53, 26.5, 1019
54, 27, 1026
55, 27.5, 1074
56, 28, 1072
57, 28.5, 1046
58, 29, 1037
59, 29.5, 1038
60, 30, 1046
61, 30.5, 1051
62, 31, 1039
63, 31.5, 1031
64, 32, 1090
65, 32.5, 992
66, 33, 1096
67, 33.5, 1078
68, 34, 1067
69, 34.5, 1016
70, 35, 1049
71, 35.5, 1122
72, 36, 1111
73, 36.5, 1119
74, 37, 1089
75, 37.5, 1136
76, 38, 1166
77, 38.5, 1100
78, 39, 1217
79, 39.5, 1231
80, 40, 1167
81, 40.5, 1257
82, 41, 1340
83, 41.5, 1299
84, 42, 1300
85, 42.5, 1353
86, 43, 1375
87, 43.5, 1415
88, 44, 1391
89, 44.5, 1441
90, 45, 1416
91, 45.5, 1469
92, 46, 1562
93, 46.5, 1548
94, 47, 1640
95, 47.5, 1769
96, 48, 2151
97, 48.5, 1765
98, 49, 2264
99, 49.5, 2623
100, 50, 1814
101, 50.5, 1997
102, 51, 2021
103, 51.5, 1787
104, 52, 1903
105, 52.5, 1880
106, 53, 1792
107, 53.5, 1896
108, 54, 1898
109, 54.5, 1991
110, 55, 1963
111, 55.5, 2287
112, 56, 2394
113, 56.5, 2047
114, 57, 2141
115, 57.5, 2285
116, 58, 2100
117, 58.5, 1951
118, 59, 2139
119, 59.5, 1961
120, 60, 1953
121, 60.5, 2055
122, 61, 2283
123, 61.5, 2187
124, 62, 2042
125, 62.5, 1985
126, 63, 2075
127, 63.5, 2016
128, 64, 2055
129, 64.5, 2113
130, 65, 2144
131, 65.5, 2144
132, 66, 2113
133, 66.5, 2047
134, 67, 2101
135, 67.5, 2104
136, 68, 2084
137, 68.5, 2073
138, 69, 2162
139, 69.5, 2137
140, 70, 2071
141, 70.5, 2092
142, 71, 2192
143, 71.5, 2196
144, 72, 2160
145, 72.5, 2144
146, 73, 2176
147, 73.5, 2164
148, 74, 2061
149, 74.5, 2151
150, 75, 2189
151, 75.5, 2139
152, 76, 2172
153, 76.5, 2124
154, 77, 2017
155, 77.5, 2129
156, 78, 2102
157, 78.5, 2113
158, 79, 2158
159, 79.5, 2117
160, 80, 2078
161, 80.5, 2182
162, 81, 2124
163, 81.5, 2148
164, 82, 2215
165, 82.5, 2106
166, 83, 2059
167, 83.5, 2045
168, 84, 2168
169, 84.5, 2239
170, 85, 2168
171, 85.5, 2033
172, 86, 2096
173, 86.5, 2049
174, 87, 2103
175, 87.5, 2028
176, 88, 2128
177, 88.5, 2017
178, 89, 1984
179, 89.5, 1967
180, 90, 1930
181, 90.5, 1987
182, 91, 2093
183, 91.5, 1929
184, 92, 1970
185, 92.5, 1995
186, 93, 1928
187, 93.5, 1909
188, 94, 1914
189, 94.5, 1956
190, 95, 1864
191, 95.5, 1890
192, 96, 1887
193, 96.5, 1852
194, 97, 1907
195, 97.5, 1829
196, 98, 1870
197, 98.5, 1810
198, 99, 1773
199, 99.5, 1839
200, 100, 1768
201, 100.5, 1725
202, 101, 1826
203, 101.5, 1779
204, 102, 1737
205, 102.5, 1670
206, 103, 1795
207, 103.5, 1657
208, 104, 1721
209, 104.5, 1733
210, 105, 1697
211, 105.5, 1709
212, 106, 1625
213, 106.5, 1682
214, 107, 1536
215, 107.5, 1651
216, 108, 1569
217, 108.5, 1604
218, 109, 1643
219, 109.5, 1571
220, 110, 1572
221, 110.5, 1530
222, 111, 1617
223, 111.5, 1513
224, 112, 1552
225, 112.5, 1542
226, 113, 1563
227, 113.5, 1471
228, 114, 1533
229, 114.5, 1545
230, 115, 1520
231, 115.5, 1497
232, 116, 1526
233, 116.5, 1492
234, 117, 1456
235, 117.5, 1505
236, 118, 1470
237, 118.5, 1416
238, 119, 1405
239, 119.5, 1426
240, 120, 1394
241, 120.5, 1443
242, 121, 1378
243, 121.5, 1477
244, 122, 1641
245, 122.5, 1546
246, 123, 1432
247, 123.5, 1327
248, 124, 1335
249, 124.5, 1345
250, 125, 1299
251, 125.5, 1290
252, 126, 1361
253, 126.5, 1338
254, 127, 1227
255, 127.5, 1324
256, 128, 1251
257, 128.5, 1217
258, 129, 1251
259, 129.5, 1255
260, 130, 1318
261, 130.5, 1242
262, 131, 1267
263, 131.5, 1247
264, 132, 1226
265, 132.5, 1197
266, 133, 1222
267, 133.5, 1258
268, 134, 1219
269, 134.5, 1235
270, 135, 1158
271, 135.5, 1176
272, 136, 1196
273, 136.5, 1212
274, 137, 1230
275, 137.5, 1316
276, 138, 1161
277, 138.5, 1091
278, 139, 1103
279, 139.5, 1096
280, 140, 1090
281, 140.5, 1109
282, 141, 1078
283, 141.5, 1063
284, 142, 1076
285, 142.5, 1143
286, 143, 1056
287, 143.5, 1045
288, 144, 1118
289, 144.5, 1032
290, 145, 1056
291, 145.5, 1108
292, 146, 1090
293, 146.5, 1027
294, 147, 1059
295, 147.5, 1016
296, 148, 1014
297, 148.5, 1025
298, 149, 977
299, 149.5, 961
300, 150, 1020
301, 150.5, 975
302, 151, 1017
303, 151.5, 1015
304, 152, 962
305, 152.5, 974
306, 153, 910
307, 153.5, 962
308, 154, 984
309, 154.5, 973
310, 155, 1016
311, 155.5, 926
312, 156, 1054
313, 156.5, 2460
314, 157, 2601
315, 157.5, 1044
316, 158, 970
317, 158.5, 1122
318, 159, 1290
319, 159.5, 937
320, 160, 836
321, 160.5, 837
322, 161, 775
323, 161.5, 762
324, 162, 793
325, 162.5, 797
326, 163, 785
327, 163.5, 734
328, 164, 797
329, 164.5, 725
330, 165, 775
331, 165.5, 794
332, 166, 807
333, 166.5, 787
334, 167, 751
335, 167.5, 792
336, 168, 727
337, 168.5, 778
338, 169, 794
339, 169.5, 721
340, 170, 759
341, 170.5, 716
342, 171, 677
343, 171.5, 731
344, 172, 694
345, 172.5, 739
346, 173, 665
347, 173.5, 692
348, 174, 655
349, 174.5, 681
350, 175, 670
351, 175.5, 698
352, 176, 721
353, 176.5, 683
354, 177, 791
355, 177.5, 820
356, 178, 733
357, 178.5, 670
358, 179, 638
359, 179.5, 633
360, 180, 670
361, 180.5, 656
362, 181, 644
363, 181.5, 650
364, 182, 750
365, 182.5, 686
366, 183, 636
367, 183.5, 660
368, 184, 604
369, 184.5, 604
370, 185, 601
371, 185.5, 650
372, 186, 609
373, 186.5, 597
374, 187, 589
375, 187.5, 648
376, 188, 622
377, 188.5, 633
378, 189, 637
379, 189.5, 583
380, 190, 573
381, 190.5, 600
382, 191, 559
383, 191.5, 634
384, 192, 595
385, 192.5, 574
386, 193, 614
387, 193.5, 1052
388, 194, 1412
389, 194.5, 713
390, 195, 525
391, 195.5, 558
392, 196, 584
393, 196.5, 589
394, 197, 709
395, 197.5, 580
396, 198, 556
397, 198.5, 498
398, 199, 556
399, 199.5, 525
400, 200, 523
401, 200.5, 536
402, 201, 498
403, 201.5, 529
404, 202, 510
405, 202.5, 474
406, 203, 504
407, 203.5, 472
408, 204, 529
409, 204.5, 526
410, 205, 474
411, 205.5, 480
412, 206, 542
413, 206.5, 494
414, 207, 507
415, 207.5, 501
416, 208, 505
417, 208.5, 487
418, 209, 473
419, 209.5, 465
420, 210, 479
421, 210.5, 532
422, 211, 519
423, 211.5, 493
424, 212, 440
425, 212.5, 486
426, 213, 495
427, 213.5, 477
428, 214, 439
429, 214.5, 426
430, 215, 514
431, 215.5, 605
432, 216, 454
433, 216.5, 470
434, 217, 408
435, 217.5, 445
436, 218, 428
437, 218.5, 453
438, 219, 471
439, 219.5, 419
440, 220, 431
441, 220.5, 457
442, 221, 416
443, 221.5, 484
444, 222, 892
445, 222.5, 778
446, 223, 454
447, 223.5, 454
448, 224, 444
449, 224.5, 457
450, 225, 414
451, 225.5, 424
