Start Time, Oct. 18, 2018 at 12:50:37 PM
Energy calibration,  Offset: 0, Slope: 0.5, Quadratic: 0
Live Time (s), 1151.56
Real Time (s), 1200.29
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.5, 1
2, 1, 32
3, 1.5, 22
4, 2, 3
5, 2.5, 3
6, 3, 5
7, 3.5, 2
8, 4, 1
9, 4.5, 6
10, 5, 15
11, 5.5, 16
12, 6, 32
13, 6.5, 29
14, 7, 38
15, 7.5, 48
16, 8, 89
17, 8.5, 606
18, 9, 3238
19, 9.5, 3741
20, 10, 3557
21, 10.5, 3551
22, 11, 3404
23, 11.5, 3399
24, 12, 3321
25, 12.5, 3283
26, 13, 3148
27, 13.5, 3024
28, 14, 3018
29, 14.5, 2937
30, 15, 2912
31, 15.5, 2820
32, 16, 2824
33, 16.5, 2790
34, 17, 2665
35, 17.5, 2725
36, 18, 2669
37, 18.5, 2682
38, 19, 2626
39, 19.5, 2683
40, 20, 2549
41, 20.5, 2595
42, 21, 2576
43, 21.5, 2548
44, 22, 2436
45, 22.5, 2561
46, 23, 2468
47, 23.5, 2412
48, 24, 2352
49, 24.5, 2348
50, 25, 2234
51, 25.5, 2389
52, 26, 2313
53, 26.5, 2360
54, 27, 2235
55, 27.5, 2215
56, 28, 2241
57, 28.5, 2233
58, 29, 2196
59, 29.5, 2254
60, 30, 2220
61, 30.5, 2161
62, 31, 2237
63, 31.5, 2163
64, 32, 2291
65, 32.5, 2109
66, 33, 2154
67, 33.5, 2117
68, 34, 2172
69, 34.5, 2100
70, 35, 2152
71, 35.5, 2116
72, 36, 2188
73, 36.5, 2142
74, 37, 2180
75, 37.5, 2083
76, 38, 2111
77, 38.5, 2060
78, 39, 2066
79, 39.5, 2080
80, 40, 2126
81, 40.5, 2117
82, 41, 2082
83, 41.5, 1954
84, 42, 2034
85, 42.5, 2020
86, 43, 1985
87, 43.5, 2108
88, 44, 2106
89, 44.5, 2048
90, 45, 2044
91, 45.5, 1980
92, 46, 1997
93, 46.5, 2007
94, 47, 2043
95, 47.5, 2129
96, 48, 2157
97, 48.5, 2129
98, 49, 2184
99, 49.5, 2349
100, 50, 2171
101, 50.5, 2017
102, 51, 2077
103, 51.5, 2147
104, 52, 2064
105, 52.5, 2035
106, 53, 2041
107, 53.5, 2079
108, 54, 2037
109, 54.5, 2068
110, 55, 2049
111, 55.5, 2168
112, 56, 2200
113, 56.5, 2181
114, 57, 2097
115, 57.5, 2184
116, 58, 2030
117, 58.5, 2069
118, 59, 2044
119, 59.5, 2050
120, 60, 2049
121, 60.5, 2046
122, 61, 2076
123, 61.5, 2075
124, 62, 2018
125, 62.5, 2062
126, 63, 2084
127, 63.5, 2103
128, 64, 1984
129, 64.5, 2021
130, 65, 1988
131, 65.5, 2024
132, 66, 2089
133, 66.5, 2066
134, 67, 2089
135, 67.5, 2046
136, 68, 2030
137, 68.5, 2038
138, 69, 2084
