Start Time, Oct. 25, 2018 at 04:04:54 PM
Energy calibration,  Offset: 0, Slope: 0.5, Quadratic: 0
Live Time (s), 1204.93
Real Time (s), 1210.19
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.5, 15
2, 1, 3579
3, 1.5, 240
4, 2, 53
5, 2.5, 159
6, 3, 652
7, 3.5, 624
8, 4, 516
9, 4.5, 538
10, 5, 480
11, 5.5, 416
12, 6, 442
13, 6.5, 505
14, 7, 381
15, 7.5, 335
16, 8, 347
17, 8.5, 275
18, 9, 298
19, 9.5, 295
20, 10, 294
21, 10.5, 271
22, 11, 242
23, 11.5, 269
24, 12, 237
25, 12.5, 257
26, 13, 278
27, 13.5, 252
28, 14, 234
29, 14.5, 214
30, 15, 214
31, 15.5, 222
32, 16, 197
33, 16.5, 242
34, 17, 206
35, 17.5, 187
36, 18, 197
37, 18.5, 189
38, 19, 209
39, 19.5, 213
40, 20, 173
41, 20.5, 222
42, 21, 211
43, 21.5, 191
44, 22, 175
45, 22.5, 191
46, 23, 200
47, 23.5, 182
48, 24, 186
49, 24.5, 187
50, 25, 173
51, 25.5, 171
52, 26, 161
53, 26.5, 179
54, 27, 189
55, 27.5, 178
56, 28, 179
57, 28.5, 182
58, 29, 179
59, 29.5, 168
60, 30, 162
61, 30.5, 177
62, 31, 181
63, 31.5, 178
64, 32, 169
65, 32.5, 170
66, 33, 191
67, 33.5, 171
68, 34, 178
69, 34.5, 178
70, 35, 170
71, 35.5, 195
72, 36, 177
73, 36.5, 203
74, 37, 213
75, 37.5, 211
76, 38, 200
77, 38.5, 177
78, 39, 192
79, 39.5, 218
80, 40, 235
81, 40.5, 228
82, 41, 195
83, 41.5, 236
84, 42, 205
85, 42.5, 240
86, 43, 260
87, 43.5, 251
88, 44, 249
89, 44.5, 243
90, 45, 260
91, 45.5, 271
92, 46, 262
93, 46.5, 250
94, 47, 255
95, 47.5, 298
96, 48, 358
97, 48.5, 297
98, 49, 385
99, 49.5, 454
100, 50, 344
101, 50.5, 339
102, 51, 351
103, 51.5, 314
104, 52, 299
105, 52.5, 299
106, 53, 336
107, 53.5, 339
108, 54, 326
109, 54.5, 319
110, 55, 338
111, 55.5, 391
112, 56, 383
113, 56.5, 356
114, 57, 375
115, 57.5, 406
116, 58, 334
117, 58.5, 342
118, 59, 338
119, 59.5, 397
120, 60, 321
121, 60.5, 344
122, 61, 359
123, 61.5, 348
124, 62, 336
125, 62.5, 378
126, 63, 344
127, 63.5, 351
128, 64, 352
129, 64.5, 361
130, 65, 371
131, 65.5, 410
132, 66, 348
133, 66.5, 354
134, 67, 379
135, 67.5, 368
136, 68, 327
137, 68.5, 396
138, 69, 380
139, 69.5, 381
140, 70, 380
141, 70.5, 370
142, 71, 386
143, 71.5, 382
144, 72, 336
145, 72.5, 366
146, 73, 372
147, 73.5, 393
148, 74, 409
149, 74.5, 363
150, 75, 397
151, 75.5, 403
152, 76, 419
153, 76.5, 367
154, 77, 384
155, 77.5, 375
156, 78, 354
157, 78.5, 376
158, 79, 391
159, 79.5, 390
160, 80, 357
161, 80.5, 361
162, 81, 371
163, 81.5, 374
164, 82, 344
165, 82.5, 372
166, 83, 398
167, 83.5, 334
168, 84, 363
169, 84.5, 394
170, 85, 377
171, 85.5, 351
172, 86, 332
173, 86.5, 377
174, 87, 346
175, 87.5, 345
176, 88, 352
177, 88.5, 350
178, 89, 319
179, 89.5, 366
180, 90, 301
181, 90.5, 346
182, 91, 332
183, 91.5, 323
184, 92, 350
185, 92.5, 326
186, 93, 352
187, 93.5, 339
188, 94, 299
189, 94.5, 292
190, 95, 332
191, 95.5, 312
192, 96, 323
193, 96.5, 327
194, 97, 318
195, 97.5, 329
196, 98, 325
197, 98.5, 309
198, 99, 323
199, 99.5, 337
200, 100, 342
201, 100.5, 292
202, 101, 316
203, 101.5, 296
204, 102, 290
205, 102.5, 257
206, 103, 319
207, 103.5, 306
208, 104, 296
209, 104.5, 276
210, 105, 305
211, 105.5, 305
212, 106, 283
213, 106.5, 293
214, 107, 284
215, 107.5, 304
216, 108, 284
217, 108.5, 273
218, 109, 282
219, 109.5, 290
220, 110, 292
221, 110.5, 302
222, 111, 320
223, 111.5, 278
224, 112, 276
225, 112.5, 266
226, 113, 275
227, 113.5, 266
228, 114, 262
229, 114.5, 251
230, 115, 228
231, 115.5, 263
232, 116, 267
233, 116.5, 260
234, 117, 247
235, 117.5, 229
236, 118, 247
237, 118.5, 250
238, 119, 270
239, 119.5, 238
240, 120, 247
241, 120.5, 249
242, 121, 245
243, 121.5, 243
244, 122, 290
245, 122.5, 256
246, 123, 235
247, 123.5, 220
248, 124, 233
249, 124.5, 259
250, 125, 213
251, 125.5, 231
252, 126, 231
253, 126.5, 260
254, 127, 203
255, 127.5, 207
256, 128, 243
257, 128.5, 223
258, 129, 228
259, 129.5, 221
260, 130, 249
261, 130.5, 238
262, 131, 219
263, 131.5, 248
264, 132, 208
265, 132.5, 202
266, 133, 235
267, 133.5, 236
268, 134, 225
269, 134.5, 200
270, 135, 188
271, 135.5, 195
272, 136, 195
273, 136.5, 213
274, 137, 214
275, 137.5, 194
276, 138, 214
277, 138.5, 215
278, 139, 215
279, 139.5, 184
280, 140, 197
281, 140.5, 199
282, 141, 179
283, 141.5, 183
284, 142, 191
285, 142.5, 179
286, 143, 173
287, 143.5, 192
288, 144, 182
289, 144.5, 152
290, 145, 189
291, 145.5, 186
292, 146, 190
293, 146.5, 166
294, 147, 176
295, 147.5, 172
296, 148, 169
297, 148.5, 188
298, 149, 171
299, 149.5, 174
300, 150, 161
301, 150.5, 182
302, 151, 179
303, 151.5, 171
304, 152, 146
305, 152.5, 165
306, 153, 191
307, 153.5, 192
308, 154, 152
309, 154.5, 169
310, 155, 163
311, 155.5, 168
312, 156, 176
313, 156.5, 417
314, 157, 456
315, 157.5, 188
316, 158, 191
317, 158.5, 200
318, 159, 192
319, 159.5, 163
320, 160, 153
321, 160.5, 167
322, 161, 136
323, 161.5, 152
324, 162, 140
325, 162.5, 150
326, 163, 161
327, 163.5, 131
328, 164, 134
329, 164.5, 130
330, 165, 140
331, 165.5, 148
332, 166, 136
333, 166.5, 138
334, 167, 155
335, 167.5, 113
336, 168, 130
337, 168.5, 134
338, 169, 131
339, 169.5, 133
340, 170, 119
341, 170.5, 123
342, 171, 120
343, 171.5, 129
344, 172, 131
345, 172.5, 122
346, 173, 124
347, 173.5, 120
348, 174, 125
349, 174.5, 98
350, 175, 114
351, 175.5, 111
352, 176, 135
353, 176.5, 110
354, 177, 127
355, 177.5, 139
356, 178, 131
357, 178.5, 124
358, 179, 136
359, 179.5, 107
360, 180, 100
361, 180.5, 113
362, 181, 95
363, 181.5, 108
364, 182, 109
365, 182.5, 124
366, 183, 109
367, 183.5, 96
368, 184, 124
369, 184.5, 106
370, 185, 117
371, 185.5, 129
372, 186, 102
373, 186.5, 120
374, 187, 107
375, 187.5, 117
376, 188, 102
377, 188.5, 106
378, 189, 116
379, 189.5, 102
380, 190, 103
381, 190.5, 104
382, 191, 90
383, 191.5, 99
384, 192, 91
385, 192.5, 119
