Start Time, Oct. 25, 2018 at 12:44:03 PM
Energy calibration,  Offset: 0, Slope: 0.5, Quadratic: 0
Live Time (s), 1207.62
Real Time (s), 1212.92
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.5, 12
2, 1, 3614
3, 1.5, 255
4, 2, 46
5, 2.5, 129
6, 3, 616
7, 3.5, 558
8, 4, 544
9, 4.5, 499
10, 5, 490
11, 5.5, 433
12, 6, 510
13, 6.5, 479
14, 7, 406
15, 7.5, 336
16, 8, 338
17, 8.5, 288
18, 9, 285
19, 9.5, 262
20, 10, 276
21, 10.5, 264
22, 11, 250
23, 11.5, 254
24, 12, 250
25, 12.5, 231
26, 13, 227
27, 13.5, 271
28, 14, 239
29, 14.5, 234
30, 15, 213
31, 15.5, 221
32, 16, 220
33, 16.5, 231
34, 17, 200
35, 17.5, 226
36, 18, 233
37, 18.5, 201
38, 19, 203
39, 19.5, 190
40, 20, 195
41, 20.5, 176
42, 21, 187
43, 21.5, 195
44, 22, 201
45, 22.5, 165
46, 23, 187
47, 23.5, 180
48, 24, 167
49, 24.5, 201
50, 25, 170
51, 25.5, 204
52, 26, 199
53, 26.5, 200
54, 27, 178
55, 27.5, 190
56, 28, 158
57, 28.5, 151
58, 29, 203
59, 29.5, 165
60, 30, 173
61, 30.5, 168
62, 31, 173
63, 31.5, 166
64, 32, 192
65, 32.5, 209
66, 33, 165
67, 33.5, 200
68, 34, 170
69, 34.5, 188
70, 35, 203
71, 35.5, 178
72, 36, 197
73, 36.5, 207
74, 37, 177
75, 37.5, 197
76, 38, 215
77, 38.5, 223
78, 39, 208
79, 39.5, 210
80, 40, 213
81, 40.5, 187
82, 41, 214
83, 41.5, 214
84, 42, 247
85, 42.5, 249
86, 43, 220
87, 43.5, 236
88, 44, 251
89, 44.5, 263
90, 45, 255
91, 45.5, 258
92, 46, 260
93, 46.5, 264
94, 47, 275
95, 47.5, 326
96, 48, 376
97, 48.5, 345
98, 49, 419
99, 49.5, 510
100, 50, 316
101, 50.5, 351
102, 51, 333
103, 51.5, 311
104, 52, 307
105, 52.5, 354
106, 53, 297
107, 53.5, 343
108, 54, 337
109, 54.5, 357
110, 55, 338
111, 55.5, 381
112, 56, 378
113, 56.5, 331
114, 57, 411
115, 57.5, 411
116, 58, 358
117, 58.5, 357
118, 59, 319
119, 59.5, 326
120, 60, 308
121, 60.5, 380
122, 61, 381
123, 61.5, 388
124, 62, 332
125, 62.5, 340
126, 63, 332
127, 63.5, 336
128, 64, 340
129, 64.5, 358
130, 65, 400
131, 65.5, 371
132, 66, 388
133, 66.5, 348
134, 67, 345
135, 67.5, 363
136, 68, 344
137, 68.5, 401
138, 69, 403
139, 69.5, 361
140, 70, 363
141, 70.5, 337
142, 71, 363
143, 71.5, 425
144, 72, 394
145, 72.5, 381
146, 73, 365
147, 73.5, 384
148, 74, 376
149, 74.5, 401
150, 75, 396
151, 75.5, 378
152, 76, 375
153, 76.5, 367
154, 77, 367
155, 77.5, 366
156, 78, 378
157, 78.5, 366
158, 79, 338
159, 79.5, 376
160, 80, 360
161, 80.5, 363
162, 81, 361
163, 81.5, 362
164, 82, 341
165, 82.5, 348
166, 83, 374
167, 83.5, 383
168, 84, 346
169, 84.5, 385
170, 85, 402
171, 85.5, 391
172, 86, 341
173, 86.5, 369
174, 87, 323
175, 87.5, 351
176, 88, 357
177, 88.5, 361
178, 89, 338
179, 89.5, 349
180, 90, 348
181, 90.5, 348
182, 91, 354
183, 91.5, 331
184, 92, 316
185, 92.5, 313
186, 93, 307
187, 93.5, 318
188, 94, 308
189, 94.5, 321
190, 95, 337
191, 95.5, 315
192, 96, 319
193, 96.5, 333
194, 97, 284
195, 97.5, 325
196, 98, 306
197, 98.5, 323
198, 99, 305
199, 99.5, 306
200, 100, 308
201, 100.5, 289
202, 101, 306
203, 101.5, 308
204, 102, 322
205, 102.5, 309
206, 103, 318
207, 103.5, 298
208, 104, 302
209, 104.5, 328
210, 105, 279
211, 105.5, 294
212, 106, 268
213, 106.5, 263
214, 107, 281
215, 107.5, 285
216, 108, 297
217, 108.5, 274
218, 109, 291
219, 109.5, 265
220, 110, 275
221, 110.5, 240
222, 111, 269
223, 111.5, 283
224, 112, 253
225, 112.5, 242
226, 113, 280
227, 113.5, 288
228, 114, 248
