Start Time, Oct. 25, 2018 at 12:05:50 PM
Energy calibration,  Offset: 0, Slope: 0.5, Quadratic: 0
Live Time (s), 1221.03
Real Time (s), 1402.2
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.5, 2
2, 1, 1
3, 1.5, 0
4, 2, 1
5, 2.5, 0
6, 3, 1
7, 3.5, 2
8, 4, 5
9, 4.5, 6
10, 5, 4
11, 5.5, 11
12, 6, 14
13, 6.5, 25
14, 7, 34
15, 7.5, 68
16, 8, 157
17, 8.5, 476
18, 9, 8879
19, 9.5, 26894
20, 10, 30199
21, 10.5, 29896
22, 11, 28729
23, 11.5, 27548
24, 12, 26964
25, 12.5, 26147
26, 13, 25173
27, 13.5, 24460
28, 14, 23816
29, 14.5, 23079
30, 15, 22822
31, 15.5, 22117
32, 16, 21524
33, 16.5, 21088
34, 17, 20746
35, 17.5, 20504
36, 18, 19841
37, 18.5, 19483
38, 19, 19128
39, 19.5, 19247
40, 20, 18682
41, 20.5, 18284
42, 21, 18249
43, 21.5, 17673
44, 22, 17643
45, 22.5, 17331
46, 23, 17254
47, 23.5, 16886
48, 24, 16690
49, 24.5, 16334
50, 25, 15988
51, 25.5, 15927
52, 26, 16055
53, 26.5, 15718
54, 27, 15534
55, 27.5, 15693
56, 28, 15476
57, 28.5, 15351
58, 29, 15228
59, 29.5, 14917
60, 30, 14785
61, 30.5, 14765
62, 31, 14499
63, 31.5, 14858
64, 32, 14572
65, 32.5, 14329
66, 33, 14281
67, 33.5, 14261
68, 34, 14560
69, 34.5, 14183
70, 35, 14367
71, 35.5, 14306
72, 36, 14622
73, 36.5, 14477
74, 37, 14548
75, 37.5, 14898
76, 38, 15029
77, 38.5, 15485
78, 39, 15947
79, 39.5, 15749
80, 40, 16163
81, 40.5, 16480
82, 41, 16702
83, 41.5, 17126
84, 42, 17596
85, 42.5, 18223
86, 43, 19271
87, 43.5, 20155
88, 44, 21040
89, 44.5, 22386
90, 45, 23619
91, 45.5, 26360
92, 46, 29324
93, 46.5, 34809
94, 47, 45388
95, 47.5, 107635
96, 48, 272499
97, 48.5, 150690
98, 49, 212649
99, 49.5, 449757
100, 50, 139106
101, 50.5, 23905
102, 51, 17165
103, 51.5, 15585
104, 52, 15547
105, 52.5, 15644
106, 53, 16109
107, 53.5, 17300
108, 54, 18887
109, 54.5, 23282
110, 55, 38562
111, 55.5, 126360
112, 56, 193525
113, 56.5, 68517
114, 57, 33620
115, 57.5, 70954
116, 58, 45809
117, 58.5, 14924
118, 59, 9919
119, 59.5, 9445
120, 60, 9162
121, 60.5, 8942
122, 61, 9094
123, 61.5, 8853
124, 62, 8757
125, 62.5, 8807
126, 63, 8623
127, 63.5, 8645
128, 64, 8644
129, 64.5, 8555
130, 65, 8456
131, 65.5, 8393
132, 66, 8455
133, 66.5, 8376
134, 67, 8316
135, 67.5, 8269
136, 68, 8467
137, 68.5, 8221
138, 69, 8149
139, 69.5, 8350
140, 70, 8268
141, 70.5, 8242
142, 71, 8219
143, 71.5, 8277
144, 72, 8158
145, 72.5, 8202
146, 73, 8243
147, 73.5, 8303
148, 74, 8227
149, 74.5, 8389
150, 75, 8210
151, 75.5, 8196
152, 76, 8191
153, 76.5, 8256
154, 77, 8164
155, 77.5, 8200
156, 78, 8072
157, 78.5, 8023
158, 79, 8359
159, 79.5, 8068
160, 80, 8044
161, 80.5, 8071
162, 81, 8172
163, 81.5, 8291
164, 82, 8128
165, 82.5, 8089
166, 83, 8228
167, 83.5, 8187
168, 84, 8177
169, 84.5, 8088
170, 85, 8075
171, 85.5, 8136
172, 86, 8057
173, 86.5, 8087
174, 87, 8121
175, 87.5, 8125
176, 88, 7960
177, 88.5, 8164
178, 89, 8054
179, 89.5, 8087
180, 90, 8156
181, 90.5, 8086
182, 91, 7898
183, 91.5, 8182
184, 92, 7990
185, 92.5, 7934
186, 93, 8182
187, 93.5, 8094
188, 94, 8088
189, 94.5, 8220
190, 95, 7911
191, 95.5, 8021
192, 96, 8085
193, 96.5, 7982
194, 97, 8163
195, 97.5, 8054
196, 98, 8252
197, 98.5, 8152
198, 99, 8175
199, 99.5, 7901
200, 100, 7948
201, 100.5, 7994
202, 101, 7932
203, 101.5, 7876
204, 102, 7907
205, 102.5, 7874
206, 103, 7983
207, 103.5, 7863
208, 104, 8132
209, 104.5, 7967
210, 105, 7967
211, 105.5, 7718
212, 106, 7972
213, 106.5, 7709
214, 107, 8171
215, 107.5, 8060
216, 108, 7927
217, 108.5, 7989
218, 109, 7903
219, 109.5, 7850
220, 110, 7706
221, 110.5, 7958
222, 111, 7960
223, 111.5, 8086
224, 112, 8011
225, 112.5, 7987
226, 113, 8076
227, 113.5, 8053
228, 114, 8158
229, 114.5, 8321
230, 115, 8341
231, 115.5, 8487
232, 116, 8636
233, 116.5, 8672
234, 117, 8813
235, 117.5, 8773
