Start Time, Nov. 21, 2018 at 02:36:43 PM
Energy calibration,  Offset: 0, Slope: 0.5, Quadratic: 0
Live Time (s), 85293.55
Real Time (s), 85585.65
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.5, 525
2, 1, 220693
3, 1.5, 15701
4, 2, 3238
5, 2.5, 7405
6, 3, 23878
7, 3.5, 22181
8, 4, 20253
9, 4.5, 18951
10, 5, 17652
11, 5.5, 16662
12, 6, 23613
13, 6.5, 20725
14, 7, 15566
15, 7.5, 12682
16, 8, 11959
17, 8.5, 11038
18, 9, 10756
19, 9.5, 10196
20, 10, 10083
21, 10.5, 9701
22, 11, 9497
23, 11.5, 9222
24, 12, 8995
25, 12.5, 9016
26, 13, 8624
27, 13.5, 8441
28, 14, 8595
29, 14.5, 8304
30, 15, 8207
31, 15.5, 8069
32, 16, 8010
33, 16.5, 8017
34, 17, 7846
35, 17.5, 7841
36, 18, 7744
37, 18.5, 7512
38, 19, 7697
39, 19.5, 7357
40, 20, 7453
41, 20.5, 7319
42, 21, 7213
43, 21.5, 7096
44, 22, 7112
45, 22.5, 6879
46, 23, 7088
47, 23.5, 6856
48, 24, 6840
49, 24.5, 6937
50, 25, 6943
51, 25.5, 6938
52, 26, 6631
53, 26.5, 6787
54, 27, 6836
55, 27.5, 6858
56, 28, 6945
57, 28.5, 6946
58, 29, 6890
59, 29.5, 6958
60, 30, 6701
61, 30.5, 6948
62, 31, 6912
63, 31.5, 7010
64, 32, 6864
65, 32.5, 7008
66, 33, 7184
67, 33.5, 7338
68, 34, 7281
69, 34.5, 7324
70, 35, 7352
71, 35.5, 7644
72, 36, 7695
73, 36.5, 7837
74, 37, 7870
75, 37.5, 7921
76, 38, 7962
77, 38.5, 8316
78, 39, 8431
79, 39.5, 8512
80, 40, 8881
81, 40.5, 9022
82, 41, 9162
83, 41.5, 9504
84, 42, 9472
85, 42.5, 9617
86, 43, 9762
87, 43.5, 9961
88, 44, 10326
89, 44.5, 10534
90, 45, 10752
91, 45.5, 10774
92, 46, 11012
93, 46.5, 11255
94, 47, 11816
95, 47.5, 14031
96, 48, 18950
97, 48.5, 13493
98, 49, 18936
99, 49.5, 24969
100, 50, 13427
101, 50.5, 13393
102, 51, 13696
103, 51.5, 12490
104, 52, 12405
105, 52.5, 12494
106, 53, 12844
107, 53.5, 12971
108, 54, 13148
109, 54.5, 13350
110, 55, 14027
111, 55.5, 17838
112, 56, 19359
113, 56.5, 14435
114, 57, 14665
115, 57.5, 16394
116, 58, 14090
117, 58.5, 13175
118, 59, 13615
119, 59.5, 13569
120, 60, 13277
121, 60.5, 13624
122, 61, 14396
123, 61.5, 14132
124, 62, 13438
125, 62.5, 13567
126, 63, 13608
127, 63.5, 13433
128, 64, 13637
129, 64.5, 13759
130, 65, 13941
131, 65.5, 13920
132, 66, 13781
133, 66.5, 13740
134, 67, 13944
135, 67.5, 13925
136, 68, 13881
137, 68.5, 13865
138, 69, 14167
139, 69.5, 13981
140, 70, 13826
141, 70.5, 14010
142, 71, 13977
143, 71.5, 13975
144, 72, 14192
145, 72.5, 13849
146, 73, 13939
147, 73.5, 13785
148, 74, 13945
149, 74.5, 13950
150, 75, 13811
151, 75.5, 13993
152, 76, 13729
153, 76.5, 14028
154, 77, 13900
155, 77.5, 13948
156, 78, 13999
157, 78.5, 13676
158, 79, 13670
159, 79.5, 13819
160, 80, 13775
161, 80.5, 13611
162, 81, 13596
163, 81.5, 13612
164, 82, 13748
165, 82.5, 13641
166, 83, 13437
167, 83.5, 13487
168, 84, 13334
169, 84.5, 13636
170, 85, 13800
171, 85.5, 13379
172, 86, 13265
173, 86.5, 13122
174, 87, 13137
175, 87.5, 12942
176, 88, 13283
177, 88.5, 13031
178, 89, 12911
179, 89.5, 12990
180, 90, 12692
181, 90.5, 12680
182, 91, 12363
183, 91.5, 12551
184, 92, 12513
185, 92.5, 12522
186, 93, 12240
187, 93.5, 12564
188, 94, 12372
189, 94.5, 12299
190, 95, 12250
191, 95.5, 12160
192, 96, 11808
193, 96.5, 11926
194, 97, 11918
195, 97.5, 12021
196, 98, 11750
197, 98.5, 11932
198, 99, 11586
199, 99.5, 11394
200, 100, 11513
201, 100.5, 11667
202, 101, 11585
203, 101.5, 11511
204, 102, 11223
205, 102.5, 11139
206, 103, 10963
207, 103.5, 10949
208, 104, 11051
209, 104.5, 10881
210, 105, 10669
211, 105.5, 10701
212, 106, 10746
213, 106.5, 10621
214, 107, 10667
215, 107.5, 10526
216, 108, 10296
217, 108.5, 10351
218, 109, 10397
219, 109.5, 10223
220, 110, 10340
221, 110.5, 9936
222, 111, 10019
223, 111.5, 10119
224, 112, 10106
225, 112.5, 9837
226, 113, 9715
227, 113.5, 9720
228, 114, 9732
229, 114.5, 9815
230, 115, 9574
231, 115.5, 9482
232, 116, 9450
233, 116.5, 9581
234, 117, 9582
235, 117.5, 9493
236, 118, 9426
237, 118.5, 9176
238, 119, 9262
239, 119.5, 9109
240, 120, 9134
241, 120.5, 8972
