Start Time, Nov. 19, 2018 at 04:22:47 PM
Energy calibration,  Offset: 0, Slope: 0.5, Quadratic: 0
Live Time (s), 165281.41
Real Time (s), 165856.62
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.5, 1127
2, 1, 454438
3, 1.5, 30834
4, 2, 6659
5, 2.5, 15457
6, 3, 46714
7, 3.5, 43120
8, 4, 40011
9, 4.5, 36942
10, 5, 34215
11, 5.5, 32440
12, 6, 46634
13, 6.5, 40518
14, 7, 30460
15, 7.5, 25103
16, 8, 23328
17, 8.5, 21594
18, 9, 20898
19, 9.5, 20537
20, 10, 19791
21, 10.5, 19159
22, 11, 18435
23, 11.5, 17903
24, 12, 17989
25, 12.5, 17590
26, 13, 17294
27, 13.5, 16819
28, 14, 16507
29, 14.5, 16502
30, 15, 16159
31, 15.5, 15910
32, 16, 15895
33, 16.5, 15459
34, 17, 15326
35, 17.5, 15209
36, 18, 14766
37, 18.5, 14640
38, 19, 14555
39, 19.5, 14461
40, 20, 14173
41, 20.5, 14288
42, 21, 13966
43, 21.5, 14163
44, 22, 13811
45, 22.5, 13771
46, 23, 13845
47, 23.5, 13655
48, 24, 13364
49, 24.5, 13607
50, 25, 13436
51, 25.5, 13467
52, 26, 13407
53, 26.5, 13156
54, 27, 13470
55, 27.5, 13212
56, 28, 13350
57, 28.5, 13565
58, 29, 13366
59, 29.5, 13555
60, 30, 13383
61, 30.5, 13701
62, 31, 13478
63, 31.5, 13663
64, 32, 13751
65, 32.5, 13762
66, 33, 13856
67, 33.5, 14172
68, 34, 14166
69, 34.5, 14527
70, 35, 14369
71, 35.5, 14733
72, 36, 14837
73, 36.5, 14907
74, 37, 15412
75, 37.5, 15726
76, 38, 16041
77, 38.5, 16331
78, 39, 16455
79, 39.5, 16877
80, 40, 17120
81, 40.5, 17486
82, 41, 17891
83, 41.5, 18445
84, 42, 18515
85, 42.5, 18823
86, 43, 19207
87, 43.5, 19760
88, 44, 19886
89, 44.5, 20276
90, 45, 20673
91, 45.5, 21080
92, 46, 21430
93, 46.5, 22087
94, 47, 22581
95, 47.5, 27155
96, 48, 36257
97, 48.5, 26170
98, 49, 36727
99, 49.5, 48063
100, 50, 26186
101, 50.5, 26874
102, 51, 27430
103, 51.5, 24007
104, 52, 24367
105, 52.5, 24529
106, 53, 25057
107, 53.5, 25625
108, 54, 25386
109, 54.5, 25827
110, 55, 27034
111, 55.5, 34561
112, 56, 36858
113, 56.5, 27814
114, 57, 28600
115, 57.5, 32412
116, 58, 27359
117, 58.5, 25850
118, 59, 26585
119, 59.5, 26622
120, 60, 25568
121, 60.5, 26287
122, 61, 28003
123, 61.5, 27678
124, 62, 26296
125, 62.5, 26393
126, 63, 26318
127, 63.5, 26233
128, 64, 26237
129, 64.5, 26434
130, 65, 26986
131, 65.5, 27094
132, 66, 26916
133, 66.5, 27073
134, 67, 26778
135, 67.5, 26930
136, 68, 26771
137, 68.5, 26954
138, 69, 27194
139, 69.5, 27554
140, 70, 27121
141, 70.5, 26819
142, 71, 27087
143, 71.5, 27303
144, 72, 27113
